Unnamed: 0,Timestep,Lon,Lat,MSW,ECP,Timestamp
0,0,87.2,7.7,25.0,1004.0,2023-01-30 03:00:00
1,1,87.1,7.73,25.0,1004.0,2023-01-30 03:30:00
2,2,87.0,7.77,25.0,1004.0,2023-01-30 04:00:00
3,3,86.9,7.8,25.0,1004.0,2023-01-30 04:30:00
4,4,86.8,7.83,25.0,1004.0,2023-01-30 05:00:00
5,5,86.7,7.87,25.0,1004.0,2023-01-30 05:30:00
6,6,86.6,7.9,25.0,1004.0,2023-01-30 06:00:00
7,7,86.55,7.91,25.0,1004.0,2023-01-30 06:30:00
8,8,86.5,7.92,25.0,1004.0,2023-01-30 07:00:00
9,9,86.45,7.93,25.0,1004.0,2023-01-30 07:30:00
10,10,86.4,7.93,25.0,1004.0,2023-01-30 08:00:00
11,11,86.35,7.94,25.0,1004.0,2023-01-30 08:30:00
12,12,86.3,7.95,25.0,1004.0,2023-01-30 09:00:00
13,13,86.25,7.96,25.0,1004.0,2023-01-30 09:30:00
14,14,86.2,7.97,25.0,1004.0,2023-01-30 10:00:00
15,15,86.15,7.98,25.0,1004.0,2023-01-30 10:30:00
16,16,86.1,7.98,25.0,1004.0,2023-01-30 11:00:00
17,17,86.05,7.99,25.0,1004.0,2023-01-30 11:30:00
18,18,86.0,8.0,25.0,1004.0,2023-01-30 12:00:00
19,19,85.94,8.01,25.0,1004.0,2023-01-30 12:30:00
20,20,85.88,8.02,25.0,1004.0,2023-01-30 13:00:00
21,21,85.82,8.02,25.0,1004.0,2023-01-30 13:30:00
22,22,85.77,8.03,25.0,1004.0,2023-01-30 14:00:00
23,23,85.71,8.04,25.0,1004.0,2023-01-30 14:30:00
24,24,85.65,8.05,25.0,1004.0,2023-01-30 15:00:00
25,25,85.59,8.06,25.0,1004.0,2023-01-30 15:30:00
26,26,85.53,8.07,25.0,1004.0,2023-01-30 16:00:00
27,27,85.48,8.07,25.0,1004.0,2023-01-30 16:30:00
28,28,85.42,8.08,25.0,1004.0,2023-01-30 17:00:00
29,29,85.36,8.09,25.0,1004.0,2023-01-30 17:30:00
30,30,85.3,8.1,25.0,1004.0,2023-01-30 18:00:00
31,31,85.26,8.11,25.0,1004.0,2023-01-30 18:30:00
32,32,85.22,8.12,25.0,1004.0,2023-01-30 19:00:00
33,33,85.18,8.12,25.0,1004.0,2023-01-30 19:30:00
34,34,85.13,8.13,25.0,1004.0,2023-01-30 20:00:00
35,35,85.09,8.14,25.0,1004.0,2023-01-30 20:30:00
36,36,85.05,8.15,25.0,1004.0,2023-01-30 21:00:00
37,37,85.01,8.16,25.0,1004.0,2023-01-30 21:30:00
38,38,84.97,8.17,25.0,1004.0,2023-01-30 22:00:00
39,39,84.92,8.17,25.0,1004.0,2023-01-30 22:30:00
40,40,84.88,8.18,25.0,1004.0,2023-01-30 23:00:00
41,41,84.84,8.19,25.0,1004.0,2023-01-30 23:30:00
42,42,84.8,8.2,25.0,1004.0,2023-01-31 00:00:00
43,43,84.72,8.23,25.0,1004.0,2023-01-31 00:30:00
44,44,84.63,8.27,25.0,1004.0,2023-01-31 01:00:00
45,45,84.55,8.3,25.0,1004.0,2023-01-31 01:30:00
46,46,84.47,8.33,25.0,1004.0,2023-01-31 02:00:00
47,47,84.38,8.37,25.0,1004.0,2023-01-31 02:30:00
48,48,84.3,8.4,25.0,1004.0,2023-01-31 03:00:00
49,49,84.23,8.43,25.0,1004.0,2023-01-31 03:30:00
50,50,84.17,8.47,25.0,1004.0,2023-01-31 04:00:00
51,51,84.1,8.5,25.0,1004.0,2023-01-31 04:30:00
52,52,84.03,8.53,25.0,1004.0,2023-01-31 05:00:00
53,53,83.97,8.57,25.0,1004.0,2023-01-31 05:30:00
54,54,83.9,8.6,25.0,1004.0,2023-01-31 06:00:00
