Unnamed: 0,Timestep,Lon,Lat,MSW,ECP,Timestamp
0,0,89.5,8.3,25.0,1002.0,2023-05-09 12:00:00
1,1,89.48,8.32,25.0,1002.0,2023-05-09 12:30:00
2,2,89.47,8.33,25.0,1002.0,2023-05-09 13:00:00
3,3,89.45,8.35,25.0,1002.0,2023-05-09 13:30:00
4,4,89.43,8.37,25.0,1002.0,2023-05-09 14:00:00
5,5,89.42,8.38,25.0,1002.0,2023-05-09 14:30:00
6,6,89.4,8.4,25.0,1002.0,2023-05-09 15:00:00
7,7,89.38,8.42,25.0,1002.0,2023-05-09 15:30:00
8,8,89.37,8.43,25.0,1002.0,2023-05-09 16:00:00
9,9,89.35,8.45,25.0,1002.0,2023-05-09 16:30:00
10,10,89.33,8.47,25.0,1002.0,2023-05-09 17:00:00
11,11,89.32,8.48,25.0,1002.0,2023-05-09 17:30:00
12,12,89.3,8.5,25.0,1002.0,2023-05-09 18:00:00
13,13,89.28,8.5,25.42,1001.83,2023-05-09 18:30:00
14,14,89.25,8.5,25.83,1001.67,2023-05-09 19:00:00
15,15,89.22,8.5,26.25,1001.5,2023-05-09 19:30:00
16,16,89.2,8.5,26.67,1001.33,2023-05-09 20:00:00
17,17,89.18,8.5,27.08,1001.17,2023-05-09 20:30:00
18,18,89.15,8.5,27.5,1001.0,2023-05-09 21:00:00
19,19,89.12,8.5,27.92,1000.83,2023-05-09 21:30:00
20,20,89.1,8.5,28.33,1000.67,2023-05-09 22:00:00
21,21,89.08,8.5,28.75,1000.5,2023-05-09 22:30:00
22,22,89.05,8.5,29.17,1000.33,2023-05-09 23:00:00
23,23,89.02,8.5,29.58,1000.17,2023-05-09 23:30:00
24,24,89.0,8.5,30.0,1000.0,2023-05-10 00:00:00
25,25,88.98,8.55,30.0,1000.0,2023-05-10 00:30:00
26,26,88.97,8.6,30.0,1000.0,2023-05-10 01:00:00
27,27,88.95,8.65,30.0,1000.0,2023-05-10 01:30:00
28,28,88.93,8.7,30.0,1000.0,2023-05-10 02:00:00
29,29,88.92,8.75,30.0,1000.0,2023-05-10 02:30:00
30,30,88.9,8.8,30.0,1000.0,2023-05-10 03:00:00
31,31,88.87,8.85,30.0,999.83,2023-05-10 03:30:00
32,32,88.83,8.9,30.0,999.67,2023-05-10 04:00:00
33,33,88.8,8.95,30.0,999.5,2023-05-10 04:30:00
34,34,88.77,9.0,30.0,999.33,2023-05-10 05:00:00
35,35,88.73,9.05,30.0,999.17,2023-05-10 05:30:00
36,36,88.7,9.1,30.0,999.0,2023-05-10 06:00:00
37,37,88.68,9.17,30.0,998.92,2023-05-10 06:30:00
38,38,88.65,9.25,30.0,998.83,2023-05-10 07:00:00
39,39,88.62,9.32,30.0,998.75,2023-05-10 07:30:00
40,40,88.6,9.4,30.0,998.67,2023-05-10 08:00:00
41,41,88.58,9.48,30.0,998.58,2023-05-10 08:30:00
42,42,88.55,9.55,30.0,998.5,2023-05-10 09:00:00
43,43,88.52,9.62,30.0,998.42,2023-05-10 09:30:00
44,44,88.5,9.7,30.0,998.33,2023-05-10 10:00:00
45,45,88.48,9.78,30.0,998.25,2023-05-10 10:30:00
46,46,88.45,9.85,30.0,998.17,2023-05-10 11:00:00
47,47,88.43,9.93,30.0,998.08,2023-05-10 11:30:00
48,48,88.4,10.0,30.0,998.0,2023-05-10 12:00:00
49,49,88.38,10.07,30.0,998.0,2023-05-10 12:30:00
50,50,88.37,10.13,30.0,998.0,2023-05-10 13:00:00
51,51,88.35,10.2,30.0,998.0,2023-05-10 13:30:00
52,52,88.33,10.27,30.0,998.0,2023-05-10 14:00:00
53,53,88.32,10.33,30.0,998.0,2023-05-10 14:30:00
54,54,88.3,10.4,30.0,998.0,2023-05-10 15:00:00
55,55,88.28,10.47,30.0,998.0,2023-05-10 15:30:00
56,56,88.27,10.53,30.0,998.0,2023-05-10 16:00:00
57,57,88.25,10.6,30.0,998.0,2023-05-10 16:30:00
58,58,88.23,10.67,30.0,998.0,2023-05-10 17:00:00
59,59,88.22,10.73,30.0,998.0,2023-05-10 17:30:00
60,60,88.2,10.8,30.0,998.0,2023-05-10 18:00:00
61,61,88.19,10.83,30.42,997.92,2023-05-10 18:30:00
62,62,88.18,10.87,30.83,997.83,2023-05-10 19:00:00
63,63,88.18,10.9,31.25,997.75,2023-05-10 19:30:00
