Unnamed: 0,Timestep,Lon,Lat,MSW,ECP,Timestamp
0,0,91.5,20.5,25.0,990.0,2023-08-01 00:00:00
1,1,91.45,20.62,25.83,989.67,2023-08-01 00:30:00
2,2,91.4,20.73,26.67,989.33,2023-08-01 01:00:00
3,3,91.35,20.85,27.5,989.0,2023-08-01 01:30:00
4,4,91.3,20.97,28.33,988.67,2023-08-01 02:00:00
5,5,91.25,21.08,29.17,988.33,2023-08-01 02:30:00
6,6,91.2,21.2,30.0,988.0,2023-08-01 03:00:00
7,7,91.12,21.27,30.0,988.0,2023-08-01 03:30:00
8,8,91.03,21.33,30.0,988.0,2023-08-01 04:00:00
9,9,90.95,21.4,30.0,988.0,2023-08-01 04:30:00
10,10,90.87,21.47,30.0,988.0,2023-08-01 05:00:00
11,11,90.78,21.53,30.0,988.0,2023-08-01 05:30:00
12,12,90.7,21.6,30.0,988.0,2023-08-01 06:00:00
13,13,90.6,21.68,30.0,988.0,2023-08-01 06:30:00
14,14,90.5,21.75,30.0,988.0,2023-08-01 07:00:00
15,15,90.4,21.83,30.0,988.0,2023-08-01 07:30:00
16,16,90.3,21.9,30.0,988.0,2023-08-01 08:00:00
17,17,90.2,21.98,30.0,988.0,2023-08-01 08:30:00
18,18,90.1,22.05,30.0,988.0,2023-08-01 09:00:00
19,19,90.0,22.12,30.0,988.0,2023-08-01 09:30:00
20,20,89.9,22.2,30.0,988.0,2023-08-01 10:00:00
21,21,89.8,22.28,30.0,988.0,2023-08-01 10:30:00
22,22,89.7,22.35,30.0,988.0,2023-08-01 11:00:00
23,23,89.6,22.42,30.0,988.0,2023-08-01 11:30:00
24,24,89.5,22.5,30.0,988.0,2023-08-01 12:00:00
25,25,89.46,22.52,30.0,988.0,2023-08-01 12:30:00
26,26,89.42,22.55,30.0,988.0,2023-08-01 13:00:00
27,27,89.38,22.58,30.0,988.0,2023-08-01 13:30:00
28,28,89.33,22.6,30.0,988.0,2023-08-01 14:00:00
29,29,89.29,22.62,30.0,988.0,2023-08-01 14:30:00
30,30,89.25,22.65,30.0,988.0,2023-08-01 15:00:00
31,31,89.21,22.68,30.0,988.0,2023-08-01 15:30:00
32,32,89.17,22.7,30.0,988.0,2023-08-01 16:00:00
33,33,89.12,22.72,30.0,988.0,2023-08-01 16:30:00
34,34,89.08,22.75,30.0,988.0,2023-08-01 17:00:00
35,35,89.04,22.78,30.0,988.0,2023-08-01 17:30:00
36,36,89.0,22.8,30.0,988.0,2023-08-01 18:00:00
37,37,88.87,22.82,30.0,988.0,2023-08-01 18:30:00
38,38,88.73,22.85,30.0,988.0,2023-08-01 19:00:00
39,39,88.6,22.88,30.0,988.0,2023-08-01 19:30:00
40,40,88.47,22.9,30.0,988.0,2023-08-01 20:00:00
41,41,88.33,22.92,30.0,988.0,2023-08-01 20:30:00
42,42,88.2,22.95,30.0,988.0,2023-08-01 21:00:00
43,43,88.07,22.98,30.0,988.0,2023-08-01 21:30:00
44,44,87.93,23.0,30.0,988.0,2023-08-01 22:00:00
45,45,87.8,23.02,30.0,988.0,2023-08-01 22:30:00
46,46,87.67,23.05,30.0,988.0,2023-08-01 23:00:00
47,47,87.53,23.08,30.0,988.0,2023-08-01 23:30:00
48,48,87.4,23.1,30.0,988.0,2023-08-02 00:00:00
49,49,87.35,23.12,30.0,988.0,2023-08-02 00:30:00
50,50,87.3,23.13,30.0,988.0,2023-08-02 01:00:00
51,51,87.25,23.15,30.0,988.0,2023-08-02 01:30:00
52,52,87.2,23.17,30.0,988.0,2023-08-02 02:00:00
53,53,87.15,23.18,30.0,988.0,2023-08-02 02:30:00
54,54,87.1,23.2,30.0,988.0,2023-08-02 03:00:00
55,55,86.97,23.22,30.0,988.0,2023-08-02 03:30:00
