Unnamed: 0,Timestep,Lon,Lat,MSW,ECP,Timestamp
0,0,86.8,14.5,25.0,1006.0,2023-11-15 03:00:00
1,1,86.77,14.53,25.0,1006.0,2023-11-15 03:30:00
2,2,86.73,14.57,25.0,1006.0,2023-11-15 04:00:00
3,3,86.7,14.6,25.0,1006.0,2023-11-15 04:30:00
4,4,86.67,14.63,25.0,1006.0,2023-11-15 05:00:00
5,5,86.63,14.67,25.0,1006.0,2023-11-15 05:30:00
6,6,86.6,14.7,25.0,1006.0,2023-11-15 06:00:00
7,7,86.58,14.75,25.0,1006.0,2023-11-15 06:30:00
8,8,86.57,14.8,25.0,1006.0,2023-11-15 07:00:00
9,9,86.55,14.85,25.0,1006.0,2023-11-15 07:30:00
10,10,86.53,14.9,25.0,1006.0,2023-11-15 08:00:00
11,11,86.52,14.95,25.0,1006.0,2023-11-15 08:30:00
12,12,86.5,15.0,25.0,1006.0,2023-11-15 09:00:00
13,13,86.48,15.05,25.0,1006.0,2023-11-15 09:30:00
14,14,86.47,15.1,25.0,1006.0,2023-11-15 10:00:00
15,15,86.45,15.15,25.0,1006.0,2023-11-15 10:30:00
16,16,86.43,15.2,25.0,1006.0,2023-11-15 11:00:00
17,17,86.42,15.25,25.0,1006.0,2023-11-15 11:30:00
18,18,86.4,15.3,25.0,1006.0,2023-11-15 12:00:00
19,19,86.4,15.36,25.0,1006.0,2023-11-15 12:30:00
20,20,86.4,15.42,25.0,1006.0,2023-11-15 13:00:00
21,21,86.4,15.48,25.0,1006.0,2023-11-15 13:30:00
22,22,86.4,15.53,25.0,1006.0,2023-11-15 14:00:00
23,23,86.4,15.59,25.0,1006.0,2023-11-15 14:30:00
24,24,86.4,15.65,25.0,1006.0,2023-11-15 15:00:00
25,25,86.4,15.71,25.0,1006.0,2023-11-15 15:30:00
26,26,86.4,15.77,25.0,1006.0,2023-11-15 16:00:00
27,27,86.4,15.82,25.0,1006.0,2023-11-15 16:30:00
28,28,86.4,15.88,25.0,1006.0,2023-11-15 17:00:00
29,29,86.4,15.94,25.0,1006.0,2023-11-15 17:30:00
30,30,86.4,16.0,25.0,1006.0,2023-11-15 18:00:00
31,31,86.43,16.08,25.42,1005.83,2023-11-15 18:30:00
32,32,86.47,16.15,25.83,1005.67,2023-11-15 19:00:00
33,33,86.5,16.23,26.25,1005.5,2023-11-15 19:30:00
34,34,86.53,16.3,26.67,1005.33,2023-11-15 20:00:00
35,35,86.57,16.38,27.08,1005.17,2023-11-15 20:30:00
36,36,86.6,16.45,27.5,1005.0,2023-11-15 21:00:00
37,37,86.63,16.52,27.92,1004.83,2023-11-15 21:30:00
38,38,86.67,16.6,28.33,1004.67,2023-11-15 22:00:00
39,39,86.7,16.67,28.75,1004.5,2023-11-15 22:30:00
40,40,86.73,16.75,29.17,1004.33,2023-11-15 23:00:00
41,41,86.77,16.82,29.58,1004.17,2023-11-15 23:30:00
42,42,86.8,16.9,30.0,1004.0,2023-11-16 00:00:00
43,43,86.83,16.98,30.0,1004.0,2023-11-16 00:30:00
44,44,86.87,17.07,30.0,1004.0,2023-11-16 01:00:00
45,45,86.9,17.15,30.0,1004.0,2023-11-16 01:30:00
46,46,86.93,17.23,30.0,1004.0,2023-11-16 02:00:00
47,47,86.97,17.32,30.0,1004.0,2023-11-16 02:30:00
48,48,87.0,17.4,30.0,1004.0,2023-11-16 03:00:00
49,49,87.05,17.48,30.0,1004.0,2023-11-16 03:30:00
50,50,87.1,17.57,30.0,1004.0,2023-11-16 04:00:00
51,51,87.15,17.65,30.0,1004.0,2023-11-16 04:30:00
52,52,87.2,17.73,30.0,1004.0,2023-11-16 05:00:00
53,53,87.25,17.82,30.0,1004.0,2023-11-16 05:30:00
54,54,87.3,17.9,30.0,1004.0,2023-11-16 06:00:00
55,55,87.33,17.96,30.0,1004.0,2023-11-16 06:30:00
56,56,87.37,18.02,30.0,1004.0,2023-11-16 07:00:00
57,57,87.4,18.08,30.0,1004.0,2023-11-16 07:30:00
58,58,87.43,18.13,30.0,1004.0,2023-11-16 08:00:00
59,59,87.47,18.19,30.0,1004.0,2023-11-16 08:30:00
60,60,87.5,18.25,30.0,1004.0,2023-11-16 09:00:00
61,61,87.53,18.31,30.0,1004.0,2023-11-16 09:30:00
62,62,87.57,18.37,30.0,1004.0,2023-11-16 10:00:00
63,63,87.6,18.42,30.0,1004.0,2023-11-16 10:30:00
64,64,87.63,18.48,30.0,1004.0,2023-11-16 11:00:00
65,65,87.67,18.54,30.0,1004.0,2023-11-16 11:30:00
66,66,87.7,18.6,30.0,1004.0,2023-11-16 12:00:00
67,67,87.72,18.64,30.0,1004.0,2023-11-16 12:30:00
68,68,87.75,18.68,30.0,1004.0,2023-11-16 13:00:00
69,69,87.78,18.73,30.0,1004.0,2023-11-16 13:30:00
70,70,87.8,18.77,30.0,1004.0,2023-11-16 14:00:00
71,71,87.82,18.81,30.0,1004.0,2023-11-16 14:30:00
72,72,87.85,18.85,30.0,1004.0,2023-11-16 15:00:00
73,73,87.88,18.89,30.0,1004.0,2023-11-16 15:30:00
74,74,87.9,18.93,30.0,1004.0,2023-11-16 16:00:00
75,75,87.92,18.98,30.0,1004.0,2023-11-16 16:30:00
76,76,87.95,19.02,30.0,1004.0,2023-11-16 17:00:00
77,77,87.98,19.06,30.0,1004.0,2023-11-16 17:30:00
78,78,88.0,19.1,30.0,1004.0,2023-11-16 18:00:00
79,79,88.04,19.18,30.42,1003.83,2023-11-16 18:30:00
80,80,88.08,19.27,30.83,1003.67,2023-11-16 19:00:00
81,81,88.12,19.35,31.25,1003.5,2023-11-16 19:30:00
82,82,88.17,19.43,31.67,1003.33,2023-11-16 20:00:00
83,83,88.21,19.52,32.08,1003.17,2023-11-16 20:30:00
84,84,88.25,19.6,32.5,1003.0,2023-11-16 21:00:00
85,85,88.29,19.68,32.92,1002.83,2023-11-16 21:30:00
86,86,88.33,19.77,33.33,1002.67,2023-11-16 22:00:00
87,87,88.38,19.85,33.75,1002.5,2023-11-16 22:30:00
88,88,88.42,19.93,34.17,1002.33,2023-11-16 23:00:00
89,89,88.46,20.02,34.58,1002.17,2023-11-16 23:30:00
90,90,88.5,20.1,35.0,1002.0,2023-11-17 00:00:00
91,91,88.6,20.2,35.0,1001.67,2023-11-17 00:30:00
92,92,88.7,20.3,35.0,1001.33,2023-11-17 01:00:00
93,93,88.8,20.4,35.0,1001.0,2023-11-17 01:30:00
94,94,88.9,20.5,35.0,1000.67,2023-11-17 02:00:00
95,95,89.0,20.6,35.0,1000.33,2023-11-17 02:30:00
96,96,89.1,20.7,35.0,1000.0,2023-11-17 03:00:00
97,97,89.17,20.78,35.83,999.67,2023-11-17 03:30:00
98,98,89.23,20.87,36.67,999.33,2023-11-17 04:00:00
99,99,89.3,20.95,37.5,999.0,2023-11-17 04:30:00
100,100,89.37,21.03,38.33,998.67,2023-11-17 05:00:00
101,101,89.43,21.12,39.17,998.33,2023-11-17 05:30:00
