Unnamed: 0,Timestep,Lon,Lat,MSW,ECP,Timestamp
0,0,86.4,9.1,20.0,1002.0,2023-12-01 00:00:00
1,1,86.37,9.13,20.0,1002.0,2023-12-01 00:30:00
2,2,86.33,9.17,20.0,1002.0,2023-12-01 01:00:00
3,3,86.3,9.2,20.0,1002.0,2023-12-01 01:30:00
4,4,86.27,9.23,20.0,1002.0,2023-12-01 02:00:00
5,5,86.23,9.27,20.0,1002.0,2023-12-01 02:30:00
6,6,86.2,9.3,20.0,1002.0,2023-12-01 03:00:00
7,7,86.17,9.33,20.83,1002.0,2023-12-01 03:30:00
8,8,86.13,9.37,21.67,1002.0,2023-12-01 04:00:00
9,9,86.1,9.4,22.5,1002.0,2023-12-01 04:30:00
10,10,86.07,9.43,23.33,1002.0,2023-12-01 05:00:00
11,11,86.03,9.47,24.17,1002.0,2023-12-01 05:30:00
12,12,86.0,9.5,25.0,1002.0,2023-12-01 06:00:00
13,13,85.98,9.54,25.0,1001.92,2023-12-01 06:30:00
14,14,85.95,9.58,25.0,1001.83,2023-12-01 07:00:00
15,15,85.92,9.62,25.0,1001.75,2023-12-01 07:30:00
16,16,85.9,9.67,25.0,1001.67,2023-12-01 08:00:00
17,17,85.88,9.71,25.0,1001.58,2023-12-01 08:30:00
18,18,85.85,9.75,25.0,1001.5,2023-12-01 09:00:00
19,19,85.82,9.79,25.0,1001.42,2023-12-01 09:30:00
20,20,85.8,9.83,25.0,1001.33,2023-12-01 10:00:00
21,21,85.78,9.88,25.0,1001.25,2023-12-01 10:30:00
22,22,85.75,9.92,25.0,1001.17,2023-12-01 11:00:00
23,23,85.72,9.96,25.0,1001.08,2023-12-01 11:30:00
24,24,85.7,10.0,25.0,1001.0,2023-12-01 12:00:00
25,25,85.65,10.02,25.0,1000.92,2023-12-01 12:30:00
26,26,85.6,10.05,25.0,1000.83,2023-12-01 13:00:00
27,27,85.55,10.07,25.0,1000.75,2023-12-01 13:30:00
28,28,85.5,10.1,25.0,1000.67,2023-12-01 14:00:00
29,29,85.45,10.12,25.0,1000.58,2023-12-01 14:30:00
30,30,85.4,10.15,25.0,1000.5,2023-12-01 15:00:00
31,31,85.35,10.18,25.0,1000.42,2023-12-01 15:30:00
32,32,85.3,10.2,25.0,1000.33,2023-12-01 16:00:00
33,33,85.25,10.23,25.0,1000.25,2023-12-01 16:30:00
34,34,85.2,10.25,25.0,1000.17,2023-12-01 17:00:00
35,35,85.15,10.28,25.0,1000.08,2023-12-01 17:30:00
36,36,85.1,10.3,25.0,1000.0,2023-12-01 18:00:00
37,37,85.02,10.32,25.42,999.83,2023-12-01 18:30:00
38,38,84.93,10.33,25.83,999.67,2023-12-01 19:00:00
39,39,84.85,10.35,26.25,999.5,2023-12-01 19:30:00
40,40,84.77,10.37,26.67,999.33,2023-12-01 20:00:00
41,41,84.68,10.38,27.08,999.17,2023-12-01 20:30:00
42,42,84.6,10.4,27.5,999.0,2023-12-01 21:00:00
43,43,84.52,10.42,27.92,998.83,2023-12-01 21:30:00
44,44,84.43,10.43,28.33,998.67,2023-12-01 22:00:00
45,45,84.35,10.45,28.75,998.5,2023-12-01 22:30:00
46,46,84.27,10.47,29.17,998.33,2023-12-01 23:00:00
